OBJECTID,ID,OID_,SPECIES,STREET,HOUSE_NUMBER,TOWN,SEASON_PLANTED,Observation_Date_baseline,SiteType_baseline,LandUse_baseline,DBH_baseline,DBH_Height_baseline,DBH2_baseline,DBH2_Height_baseline,Height_baseline,Width_baseline,Mortality_baseline,BasalSprouts_baseline,Vigor_baseline,Condition_baseline,Comments_1,Comments_2,Comments_3,NOTES,SiteType_2023,LandUse_2023,DBH_2023,DBH_Height_2023,DBH2_2023,DBH2_Height_2023,Height_2023,Width_2023,Mortality_2023,BasalSprouts_2023,Vigor_2023,Condition_2023,Comments_2023,Crew_Initials,SHADE,ORNAMENTAL,EVERGREEN,EditDate,Editor,x,y,Scientific.Name
1003,11629,6555,Hophornbeam,POCASSET AVE,63,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,KSARRC,1,0,0,6/12/2023,racolon_clarku,,,Ostrya
1004,11657,9034,Tulip,WEST BOYLSTON ST,1232,Worcester,Fall 2011,7/2/2015,Back yard,Single-family,1.86,,0,,22,6.083333333,Alive,N,1-25%,Good,,,,,BY,SFR-D,6.2,54,0,0,39.6,21,Alive,0,1,Good,,"NG, KS, TH",1,0,0,6/15/2023,THonnef_clarku,,,Liriodendron
1005,11658,9033,Tulip,WEST BOYLSTON ST,1232,Worcester,Fall 2011,7/2/2015,Back yard,Single-family,0,,0,,0,0,Removed/Missing,,,,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,"NG, KS, TH",1,0,0,6/15/2023,THonnef_clarku,,,Liriodendron
1006,11665,5341,Beech,MARY ANN DR,5,Worcester,Fall 2011,6/25/2015,,,0,,0,,0,0,Removed/Missing,,,,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,AR KS,1,0,0,6/26/2023,ARichmondCrosset_clarku,,,Fagus
1007,11666,5353,Beech,MARY ANN DR,5,Worcester,Fall 2011,6/25/2015,,,0,,0,,0,0,Removed/Missing,,,,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,Heavily forested,KS AR,1,0,0,6/26/2023,KSmart_clarku,,,Fagus
1008,11667,5350,Colorado Spruce,MARY ANN DR,5,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,2.7,54,0,0,12,6,Alive,0,2,Fair,,AR KS,0,0,1,6/26/2023,ARichmondCrosset_clarku,,,Picea pungens
1009,11668,5349,Norway Spruce,MARY ANN DR,5,Worcester,Fall 2011,6/25/2015,,,0,,0,,0,0,Removed/Missing,,,,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,Heavily forested,KS AR,0,0,1,6/26/2023,KSmart_clarku,,,Picea abies
1010,11669,5358,Red Oak,MARY ANN DR,5,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,Heavily forested,KS AR,1,0,0,6/26/2023,KSmart_clarku,,,Quercus rubra
1011,11670,5347,Red Oak,MARY ANN DR,5,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,1.8,54,0,0,16,6.5,Alive,0,2,Fair,,AR KS,1,0,0,6/26/2023,ARichmondCrosset_clarku,,,Quercus rubra
1012,11671,5342,Red Oak,MARY ANN DR,5,Worcester,Fall 2011,6/25/2015,,,0,,0,,0,0,Alive,N,,,,,,,BY,SFR-D,2,54,0,0,25,8,Alive,0,3,Fair,,AR KS,1,0,0,6/26/2023,ARichmondCrosset_clarku,,,Quercus rubra
1013,11672,5357,Swamp White Oak,MARY ANN DR,5,Worcester,Fall 2011,6/25/2015,,,0,,0,,0,0,Alive,N,,,,,,,BY,SFR-D,1.3,54,0,0,10,10.6,Alive,0,1,Good,,AR KS,1,0,0,6/26/2023,ARichmondCrosset_clarku,,,Quercus bicolor
1014,11673,5359,Swamp White Oak,MARY ANN DR,5,Worcester,Fall 2011,6/25/2015,,,0,,0,,0,0,Alive,N,,,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,Dead,Heavily forested,AR KS,1,0,0,6/26/2023,ARichmondCrosset_clarku,,,Quercus bicolor
1015,11674,5355,Swamp White Oak,MARY ANN DR,5,Worcester,Fall 2011,6/25/2015,,,0,,0,,0,0,Alive,N,,,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,Heavily forested,KS AR,1,0,0,6/26/2023,KSmart_clarku,,,Quercus bicolor
1016,11675,5346,White Oak,MARY ANN DR,5,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,Dead,,AR KS,1,0,0,6/26/2023,ARichmondCrosset_clarku,,,Quercus alba
1017,11826,8468,Yellowwood,SUMMERHILL AVE,13,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,FY,SFR-D,6.2,47,0,0,21.1,21.5,Alive,0,1,Good,,"cb, ap, ks",1,0,0,6/8/2023,CBate_clarku,,,Cladrastis kentukea
1018,11866,6806,Sweetgum,RANDALL ST,69,Worcester,Fall 2011,7/18/2015,Back yard,Single-family,0.85,,0,,8.5,2.208333333,Alive,Y(lots!),51-75%,Fair,,Still staked,,,BY,SFR-D,8.3,54,0,0,28.1,18.5,Alive,1,1,Good,,AN NG,1,0,0,6/12/2023,ANelson_clarku,,,Liquidambar styraciflua
1019,11912,2747,Dawn Redwood,EUSTIS ST,18,Worcester,Fall 2011,6/29/2015,Front Yard,Single-Family,1.65,,0,,11,7.125,Alive,No,1-25%,Good,,,,,FY,SFR-D,4.7,28,0,0,9.4,8,Alive,0,2,Good,,"CK, an",0,0,1,6/22/2023,CKluchman_clarku,,,Metasequoia glyptostroboides
1020,11913,2751,Dawn Redwood,EUSTIS ST,18,Worcester,Fall 2011,6/29/2015,Front Yard,Single-Family,1.3,,0,,8,6.208333333,Alive,No,1-25%,Good,,Weed whacker damage,,,FY,SFR-D,4.2,28,0,0,10.6,9,Alive,0,1,Good,,"CK, an",0,0,1,6/22/2023,CKluchman_clarku,,,Metasequoia glyptostroboides
1021,11914,2757,Dawn Redwood,EUSTIS ST,18,Worcester,Fall 2011,6/29/2015,Front Yard,Single-Family,0,,0,,0,0,Removed/missing,,,,,Replaced with another tree,,,FY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,"CK, an",0,0,1,6/22/2023,CKluchman_clarku,,,Metasequoia glyptostroboides
1022,11920,5279,Yellowwood,MARLAND RD,39,Worcester,Fall 2011,6/17/2015,Front yard,Single-family,1.67,4.5,0,,10,10.79166667,Alive,N,1-25%,Good,,Lots of insect bites on leaves,,,FY,SFR-A,0,0,0,0,0,0,Removed,0,0,Dead,,AR CB AP,1,0,0,6/22/2023,ARichmondCrosset_clarku,,,Cladrastis kentukea
1023,11921,3297,Hornbeam,GREENDALE AVE,42,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,3.3,44,1.1,44,18.9,13.5,Alive,1,1,Good,,"cb, rc, ar",1,0,0,7/6/2023,CBate_clarku,,,Carpinus
1024,11923,3866,Tulip,IDALLA AVE,10,Worcester,Fall 2011,6/29/2015,,,0,,0,,0,0,Removed/missing,,,,,,,,BY,SFR-D,3.7,54,0,0,23,15,Alive,0,1,Good,Trunk is funky,Jathrc,1,0,0,6/22/2023,racolon_clarku,,,Liriodendron
1025,11926,4265,Juniper,LADYBANK RD,24,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,5,54,0,0,22.1,10,Alive,0,1,Good,,Jathrc,0,0,1,6/22/2023,racolon_clarku,,,Juniperus
1026,11927,4266,Juniper,LADYBANK RD,24,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,4.6,54,0,0,22.4,9,Alive,0,1,Good,,Jathrc,0,0,1,6/22/2023,racolon_clarku,,,Juniperus
1027,11928,4267,Juniper,LADYBANK RD,24,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,4.6,44,0,0,21.7,7,Alive,0,1,Good,,Jathrc,0,0,1,6/22/2023,racolon_clarku,,,Juniperus
1028,11931,5372,Hophornbeam,MARY ANN DR,50,Worcester,Fall 2011,6/25/2015,,,0,,0,,0,0,Removed/Missing,,,,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,"cb, rc, ar",1,0,0,7/6/2023,CBate_clarku,,,Ostrya
1029,11932,5373,Serviceberry,MARY ANN DR,50,Worcester,Fall 2011,6/25/2015,Back yard,Single-family,1.63,,1.63,,10.5,12.29166667,Alive,N,1-25%,Good,,pruned,,,BY,SFR-D,0,0,0,0,10,0,Alive,0,1,Good,fence,"cb, rc, ar",0,1,0,7/6/2023,CBate_clarku,,,Amelanchier
1030,11933,5374,Serviceberry,MARY ANN DR,50,Worcester,Fall 2011,6/25/2015,,,0,,0,,0,0,Removed/Missing,,,,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,Cbarrc,0,1,0,7/6/2023,racolon_clarku,,,Amelanchier
1031,11934,9031,Beech,WEST BOYLSTON ST,923,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,FY,MFR,0,0,0,0,0,0,Removed,0,0,,,,1,0,0,6/22/2023,JaAndrews_clarku,,,Fagus
1032,11935,9032,Dawn Redwood,WEST BOYLSTON ST,923,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,MFR,0,0,0,0,0,0,Removed,0,0,,,Jathrc,0,0,1,6/22/2023,racolon_clarku,,,Metasequoia glyptostroboides
1033,11952,3797,Hornbeam,HUNNEWELL RD,50,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,FY,SFR-D,0,0,0,0,0,0,Removed,0,0,Dead,,Jathrc,1,0,0,6/22/2023,racolon_clarku,,,Carpinus
1034,11953,3799,Hornbeam,HUNNEWELL RD,50,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,FY,SFR-D,0,0,0,0,0,0,Removed,0,0,,Probably replaced,Jathrc,1,0,0,6/22/2023,racolon_clarku,,,Carpinus
1035,11954,3804,Sweetgum,HUNNEWELL RD,50,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,,1,0,0,6/22/2023,JaAndrews_clarku,,,Liquidambar styraciflua
1036,11983,3653,Cherry,HILMA ST,2,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,0,0,0,0,16.8,0,Alive,0,1,Good,,AR KS AP NG,0,1,0,6/26/2023,ARichmondCrosset_clarku,,,Prunus
1037,11984,3651,Kousa Dogwood,HILMA ST,2,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,AR KS AP NG,0,1,0,6/26/2023,NGeron_clarku,,,Cornus kousa
1038,11985,2439,Hophornbeam,CUTTING AVE,6,Worcester,Fall 2011,6/19/2015,Back yard,Single-family,1.2,,0,,10.33333333,3.791666667,Alive,N,1-25%,Good,,,,,BY,SFR-D,3.6,41,0,0,18,13.6,Alive,0,1,Fair,damage at base of trunk,"cb, ck, ar",1,0,0,6/6/2023,CBate_clarku,,,Ostrya
1039,11986,2438,Serviceberry,CUTTING AVE,6,Worcester,Fall 2011,6/19/2015,Back yard,Single-family,1.4,,1.14,,14.33333333,6.5,Alive,N,1-25%,Good,,,,,BY,SFR-D,4,17,0,0,15.2,15,Alive,1,1,Fair,,"cb, ck, ar",0,1,0,6/6/2023,CBate_clarku,,,Amelanchier
1040,11990,4473,Sweetgum,LEEDS ST,42,Worcester,Fall 2011,6/24/2015,Back Yard,Single Family,1.05,4.5,0,,10,2.583333333,Alive,Y,1-25%,Fair,,Tied to stakes; was transplanted at some point,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,,1,0,0,6/8/2023,CBate_clarku,,,Liquidambar styraciflua
1041,11991,4475,Sweetgum,LEEDS ST,42,Worcester,Fall 2011,6/24/2015,Front Yard,Single Family,1.35,4.5,0,,14.58333333,4.291666667,Alive,Y,1-25%,Good,,,,,FY,SFR-D,5.6,0,3.6,0,27.3,19,Alive,0,1,Good,,"cb, ks, ap",1,0,0,6/8/2023,CBate_clarku,,,Liquidambar styraciflua
1042,11992,4474,Sweetgum,LEEDS ST,42,Worcester,Fall 2011,6/24/2015,Front yard,Single-family,2.49,4.5,0,,14.58333333,4.958333333,Alive,Y,,,,"No dieback, transparency, or condition",,,FY,SFR-D,5.5,44,1.7,54,23.8,13.5,Alive,1,2,Fair,,"cb, ks, ap",1,0,0,6/8/2023,CBate_clarku,,,Liquidambar styraciflua
1043,11993,4477,Sweetgum,LEEDS ST,42,Worcester,Fall 2011,6/24/2015,Front yard,Single-family,0,,0,,0,0,Removed/Missing,,,,,,,,FY,SFR-D,0,0,0,0,0,0,Stump,0,0,,,"cb, ks, ap",1,0,0,6/8/2023,CBate_clarku,,,Liquidambar styraciflua
1044,12007,6837,Dawn Redwood,RANDOLPH RD,51,Worcester,Fall 2011,6/25/2015,Front Yard,Multi-Family,4.1,,0,,17.83333333,12.25,Alive,,1-25%,Good,Staked. Close to 50% transparency.,,,,SY,MFR,6,54,0,0,0,0,Alive,0,3,Fair,,AP NG,0,0,1,6/26/2023,apai_clarku,,,Metasequoia glyptostroboides
1045,12035,8458,Beech,SUMMERHILL AVE,37,Worcester,Fall 2011,6/25/2015,Front yard,Single-family,0.7,4.5,0,,9,6.333333333,Alive,N,1-25%,Good,,,,,FY,SFR-D,3.6,15,0,0,9.6,9.5,Alive,0,1,Good,,"RC, CB, TH",1,0,0,6/7/2023,THonnef_clarku,,,Fagus
1046,12036,8461,Hophornbeam,SUMMERHILL AVE,37,Worcester,Fall 2011,6/25/2015,Back Yard,Single-family,1.09,4.5,0,,11,2.916666667,Alive,Y,1-25%,Good,,Still staked,,,BY,SFR-D,0,0,0,0,0,0,Stump,0,0,,,"RC, CB, TH",1,0,0,6/7/2023,THonnef_clarku,,,Ostrya
1047,12037,8453,Cherry,SUMMERHILL AVE,46,Worcester,Fall 2011,6/25/2015,Front yard,Multi-Familt,3.44,4.5,0,,14.58333333,11.91666667,Alive,N,1-25%,Good,,Trunk damage,,,FY,MFR,12.5,46,0,0,16.4,26,Alive,0,1,Fair,Trunk damage,"RC, CB, TH",0,1,0,6/7/2023,THonnef_clarku,,,Prunus
1048,12038,8452,Hophornbeam,SUMMERHILL AVE,46,Worcester,Fall 2011,6/25/2015,Front Yard,Single-Family,1.2,,NA,,13.5,7.083333333,Alive,N,1-25 %,Good,,,Staked,,FY,MFR,4.3,54,0,0,23.4,17,Alive,0,1,Good,,"RC, CB, TH",1,0,0,6/7/2023,THonnef_clarku,,,Ostrya
1049,12039,8450,Hophornbeam,SUMMERHILL AVE,46,Worcester,Fall 2011,6/25/2015,,,0,,0,,0,0,Unknown,,,,,"No location info from DCR, did not see it but were not sure if removed",,,SY,MFR,0,0,0,0,0,0,Removed,0,0,,,"RC, CB, TH",1,0,0,6/7/2023,THonnef_clarku,,,Ostrya
1050,12041,8448,Sweetgum,SUMMERHILL AVE,46,Worcester,Fall 2011,6/25/2015,,,0,,0,,0,0,Removed/Missing,,,,,,,,BY,MFR,0,0,0,0,0,0,Removed,0,0,,,"RC, CB, TH",1,0,0,6/7/2023,THonnef_clarku,,,Liquidambar styraciflua
1051,12042,4183,Sweetgum,KING PHILIP RD,149,Worcester,Fall 2011,6/25/2015,Front yard,Single-family,1.2,4.5,0,,10.33333333,5.75,Alive,N,1-25%,Good,,,,,FY,MFR,0,0,0,0,0,0,Removed,0,0,,,"CK, CB",1,0,0,6/12/2023,CKluchman_clarku,,,Liquidambar styraciflua
1052,12043,4184,Honeylocust,KING PHILIP RD,155,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,11.4,54,0,0,24.3,33,Alive,0,1,Good,moved point,"CK, CB",1,0,0,6/12/2023,CKluchman_clarku,,,Gleditsia
1053,12044,4185,Sweetgum,KING PHILIP RD,155,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,"""never took""","CK, CB",1,0,0,6/12/2023,CKluchman_clarku,,,Liquidambar styraciflua
1054,12116,4476,Japanese Tree Lilac,LEEDS ST,42,Worcester,Fall 2011,6/24/2015,Front Yard,Single-family,0.96,4.5,0,,9.5,3.458333333,Alive,N,1-25%,Good,,,,,FY,SFR-D,2.2,54,0,0,11.1,8,Alive,1,1,Fair,,"cb, ks, ap",0,1,0,6/8/2023,CBate_clarku,,,Syringa reticulata
1055,12117,7288,Dawn Redwood,SAINT NICHOLAS AVE,99,Worcester,Fall 2011,6/18/2015,Back Yard,Single Family,0,,0,,0,0,Removed/Missing,,,,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,AR AP,0,0,1,6/29/2023,apai_clarku,,,Metasequoia glyptostroboides
1056,12118,7287,Dawn Redwood,SAINT NICHOLAS AVE,99,Worcester,Fall 2011,6/18/2015,Back Yard,Single Family,0,,0,,0,0,Removed/Missing,,,,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,AR AP,0,0,1,6/29/2023,apai_clarku,,,Metasequoia glyptostroboides
1057,12120,7286,Hornbeam,SAINT NICHOLAS AVE,99,Worcester,Fall 2011,6/18/2015,Back Yard,Single Family,0,,0,,0,0,Removed/Missing,,,,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,AR AP,1,0,0,6/29/2023,apai_clarku,,,Carpinus
1058,12199,6800,Colorado Spruce,RADCLIFFE ST,3,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,MFR,5,54,0,0,15.1,13.5,Alive,0,1,Good,,Jathrc,0,0,1,6/22/2023,racolon_clarku,,,Picea pungens
1059,12200,6799,Pin Oak,RADCLIFFE ST,3,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,MFR,6.4,54,0,0,28.1,25,Alive,0,1,Good,,Jathrc,1,0,0,6/22/2023,racolon_clarku,,,Quercus palustris
1060,12204,7361,Sweetgum,SANTORO RD,53,Worcester,Fall 2011,6/30/2015,Front Yard,Single-Family,2.09,,0,,16,7.791666667,Alive,Y,1-25%,Good,,,,,FY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,AP AR CB,1,0,0,6/22/2023,apai_clarku,,,Liquidambar styraciflua
1061,12227,1509,Cherry,BURNCOAT ST,266,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,FY,SFR-A,7.8,20,0,0,12.7,17.5,Alive,0,1,Good,,"ar, cb",0,1,0,6/13/2023,CBate_clarku,,,Prunus
1062,12228,1510,Kousa Dogwood,BURNCOAT ST,266,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,SY,SFR-A,4.7,27,0,0,10.7,14.5,Alive,0,1,Good,,"ar, cb",0,1,0,6/13/2023,CBate_clarku,,,Cornus kousa
1063,12251,5381,Serviceberry,MARY ANN DR,33,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,0,0,0,0,0,0,Unknown,0,0,,,"ar,cb",0,1,0,6/13/2023,CBate_clarku,,,Amelanchier
1064,12253,4124,Sweetgum,KENDRICK AVE,42,Worcester,Fall 2011,6/24/2015,Back Yard,Single Family,0,,0,,0,0,Standing Dead,,,,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,"Homeowner cut it down (based on past survey, it had already died).",CK AP KS,1,0,0,6/7/2023,KSmart_clarku,,,Liquidambar styraciflua
1065,12254,145,Yellowwood,ANDOVER ST,65,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,MFR,9.4,13,0,0,24.1,36,Alive,0,1,Good,,"cb, ap, ks",1,0,0,6/8/2023,CBate_clarku,,,Cladrastis kentukea
1066,12255,56,Dawn Redwood,AIRLIE ST,47,Worcester,Fall 2011,6/23/2015,Front yard,Single-family,1.89,4.5,0,,14,7.041666667,Alive,N,1-25%,Good,,,,,FY,SFR-D,5.1,54,0,0,25.3,15,Alive,0,1,Good,Single family home side yard/unkept green space.,KS AP CK,0,0,1,6/7/2023,KSmart_clarku,,,Metasequoia glyptostroboides
1067,12256,1341,Fringetree,BURNCOAT ST,497,Worcester,Fall 2011,6/25/2014,Back Yard,Single-family,0,0,0,0,0,0,Removed/Missing,N,0,0,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,Apthrc,0,1,0,6/21/2023,racolon_clarku,,,Chionanthus virginicus
1068,12257,1342,Sweetgum,BURNCOAT ST,497,Worcester,Fall 2011,6/25/2014,Back Yard,Single-family,0,0,0,0,0,0,Alive,N,0,0,Measurements unavailable because tree was inaccessible,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,"AP, RC, TH",1,0,0,6/21/2023,THonnef_clarku,,,Liquidambar styraciflua
1069,12319,1352,Cherry,CALUMET AVE,11,Worcester,Fall 2011,6/26/2014,Front Yard,Single-family,1.4,4.5,0,0,14,5.95,Alive,N,1-25%,Good,,,,,FY,SFR-D,0,0,0,0,0,0,Alive,0,2,Fair,,AN AP CK,0,1,0,6/13/2023,ANelson_clarku,,,Prunus
1070,12320,1353,Cherry,CALUMET AVE,11,Worcester,Fall 2011,6/26/2014,Front Yard,Single-family,2.5,4.5,0,0,14,10.3,Alive,N,1-25%,Good,,,,,FY,SFR-D,0,0,0,0,0,0,Alive,0,2,Fair,,AN AP CK,0,1,0,6/13/2023,ANelson_clarku,,,Prunus
1071,12321,1358,Juniper,CALUMET AVE,11,Worcester,Fall 2011,6/26/2014,Back Yard,Single-family,1.6,4.5,0,0,10,5.3,Alive,N,1-25%,Good,,,,,BY,SFR-D,0,0,0,0,0,0,Alive,0,1,Good,,AN AP CK,0,0,1,6/13/2023,ANelson_clarku,,,Juniperus
1072,12322,1629,Juniper,CALUMET AVE,11,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,0,0,0,0,0,0,Alive,0,1,Good,,AN AP CK,0,0,1,6/13/2023,ANelson_clarku,,,Juniperus
1073,12323,1362,Juniper,CALUMET AVE,11,Worcester,Fall 2011,6/26/2014,Back Yard,Single-family,1.8,4.5,0,0,10.5,5.75,Alive,N,1-25%,Good,,,,,BY,SFR-D,0,0,0,0,0,0,Alive,0,1,Good,,AN AP CK,0,0,1,6/13/2023,ANelson_clarku,,,Juniperus
1074,12324,1361,Juniper,CALUMET AVE,11,Worcester,Fall 2011,6/26/2014,Back Yard,Single-Family,2.25,,NA,,13,7.083333333,Alive,N,1-25 %,Good,,,,,BY,SFR-D,0,0,0,0,0,0,Alive,0,1,Good,,AN AP CK,0,0,1,6/13/2023,ANelson_clarku,,,Juniperus
1075,12325,1360,Juniper,CALUMET AVE,11,Worcester,Fall 2011,6/26/2014,Back Yard,Single-family,1.6,4.5,0,0,10,5.65,Alive,N,1-25%,Good,,,,,BY,SFR-D,0,0,0,0,0,0,Alive,0,1,Good,,AN AP CK,0,0,1,6/13/2023,ANelson_clarku,,,Juniperus
1076,12326,1359,Juniper,CALUMET AVE,11,Worcester,Fall 2011,6/26/2014,Back Yard,Single-family,1.3,4.5,0,0,10,4.8,Alive,N,1-25%,Good,,,,,BY,SFR-D,0,0,0,0,0,0,Alive,0,1,Good,,AN AP CK,0,0,1,6/13/2023,ANelson_clarku,,,Juniperus
1077,12327,1357,Juniper,CALUMET AVE,11,Worcester,Fall 2011,6/26/2014,Back Yard,Single-family,1.5,4.5,0,0,10,4.65,Alive,N,1-25%,Good,,,,,BY,SFR-D,0,0,0,0,0,0,Alive,0,1,Good,,AN AP CK,0,0,1,6/13/2023,ANelson_clarku,,,Juniperus
1078,12328,1354,Juniper,CALUMET AVE,11,Worcester,Fall 2011,6/26/2014,Back Yard,Single-family,1.4,4.5,0,0,10,4.95,Alive,N,1-25%,Good,,,,,BY,SFR-D,0,0,0,0,0,0,Alive,0,1,Good,,AN AP CK,0,0,1,6/13/2023,ANelson_clarku,,,Juniperus
1079,12329,1356,Juniper,CALUMET AVE,11,Worcester,Fall 2011,6/26/2014,Back Yard,Single-family,2,4.5,0,0,11.5,5.25,Alive,N,1-25%,Good,,,,,BY,SFR-D,0,0,0,0,0,0,Alive,0,1,Good,,AN AP CK,0,0,1,6/13/2023,ANelson_clarku,,,Juniperus
1080,12330,1355,Juniper,CALUMET AVE,11,Worcester,Fall 2011,6/26/2014,Back Yard,Single-family,1.5,4.5,0,0,11,5.15,Alive,N,1-25%,Good,,,,,BY,SFR-D,0,0,0,0,0,0,Alive,0,1,Good,,AN AP CK,0,0,1,6/13/2023,ANelson_clarku,,,Juniperus
1081,12331,1627,Kousa Dogwood,CALUMET AVE,11,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,FY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,AN AP CK,0,1,0,6/13/2023,ANelson_clarku,,,Cornus kousa
1082,12332,1628,Kousa Dogwood,CALUMET AVE,11,Worcester,Fall 2011,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,0,0,0,0,0,0,Alive,0,1,Fair,,,0,1,0,6/13/2023,ANelson_clarku,,,Cornus kousa
1083,12335,2507,White Fir,DEEPDALE RD,52,Worcester,Fall 2011,6/29/2015,Back Yard,Single-Family,0,,0,,0,0,Removed/missing,,,,,,,,BY,SFR-A,0,0,0,0,0,0,Removed,0,0,,,AN AR JA,0,0,1,6/21/2023,ANelson_clarku,,,Abies concolor
1084,12336,2508,White Fir,DEEPDALE RD,52,Worcester,Fall 2011,6/29/2015,Back Yard,Single-Family,0,,0,,0,0,Removed/missing,,,,,,,,BY,SFR-A,0,0,0,0,0,0,Removed,0,0,,,AN AR JA,0,0,1,6/21/2023,ANelson_clarku,,,Abies concolor
